,path,img_names,label
0,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000348/0000005.jpg,0000005.jpg,0003_0000348
1,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000348/0003_0000348_script.jpg,0003_0000348_script.jpg,0003_0000348
2,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000371/0000001.jpg,0000001.jpg,0003_0000371
3,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000371/0000002.jpg,0000002.jpg,0003_0000371
4,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000371/0000007.jpg,0000007.jpg,0003_0000371
5,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000371/0000006.jpg,0000006.jpg,0003_0000371
6,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000371/0000010.jpg,0000010.jpg,0003_0000371
7,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000371/0003_0000371_script.jpg,0003_0000371_script.jpg,0003_0000371
8,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000371/0000011.jpg,0000011.jpg,0003_0000371
9,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000371/0000005.jpg,0000005.jpg,0003_0000371
10,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000371/0000009.jpg,0000009.jpg,0003_0000371
11,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000347/0000000.jpg,0000000.jpg,0003_0000347
12,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000347/0000003.jpg,0000003.jpg,0003_0000347
13,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000347/0000006.jpg,0000006.jpg,0003_0000347
14,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000347/0000010.jpg,0000010.jpg,0003_0000347
15,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000347/0003_0000347_script.jpg,0003_0000347_script.jpg,0003_0000347
16,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000347/0000008.jpg,0000008.jpg,0003_0000347
17,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000362/0000004.jpg,0000004.jpg,0003_0000362
18,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000362/0000005.jpg,0000005.jpg,0003_0000362
19,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000362/0003_0000362_script.jpg,0003_0000362_script.jpg,0003_0000362
20,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000362/0003_0000362_script_2.jpg,0003_0000362_script_2.jpg,0003_0000362
21,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000354/0000002.jpg,0000002.jpg,0003_0000354
22,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000354/0003_0000354_script.jpg,0003_0000354_script.jpg,0003_0000354
23,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000353/0000007.jpg,0000007.jpg,0003_0000353
24,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000353/0000011.jpg,0000011.jpg,0003_0000353
25,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000353/0003_0000353_script.jpg,0003_0000353_script.jpg,0003_0000353
26,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000353/0000008.jpg,0000008.jpg,0003_0000353
27,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000339/0000000.jpg,0000000.jpg,0003_0000339
28,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000339/0003_0000339_script.jpg,0003_0000339_script.jpg,0003_0000339
29,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000390/0000006.jpg,0000006.jpg,0003_0000390
30,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000390/0003_0000390_script.jpg,0003_0000390_script.jpg,0003_0000390
31,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0000001.jpg,0000001.jpg,0003_0000329
32,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0000000.jpg,0000000.jpg,0003_0000329
33,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0000002.jpg,0000002.jpg,0003_0000329
34,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0000003.jpg,0000003.jpg,0003_0000329
35,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0003_0000329_script.jpg,0003_0000329_script.jpg,0003_0000329
36,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0000006.jpg,0000006.jpg,0003_0000329
37,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0000010.jpg,0000010.jpg,0003_0000329
38,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0000011.jpg,0000011.jpg,0003_0000329
39,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0000005.jpg,0000005.jpg,0003_0000329
40,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0000008.jpg,0000008.jpg,0003_0000329
41,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0003_0000329_script_2.jpg,0003_0000329_script_2.jpg,0003_0000329
42,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000329/0000009.jpg,0000009.jpg,0003_0000329
43,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000345/0000001.jpg,0000001.jpg,0003_0000345
44,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000345/0000014.jpg,0000014.jpg,0003_0000345
45,/Users/sharduljanaskar/Documents/face_classification/trainset/0003/0003_0000345/0000000.jpg,0000000.jpg,0003_0000345
